tempo,rms,spectral_centroid,spectral_bandwidth,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,chroma,contrast,tonnetz,onset,genre
[123.046875],0.16031341,2155.9560001581826,2318.667496668495,0.0978180026122291,-119.84699,100.12762,4.742199,17.043036,-5.4586163,0.36969364,22.009037920361187,-0.017706326315977655,1.7743143,electronic
[129.19921875],0.38479596,2806.606086580354,2761.3405477190818,0.10931453173374613,-89.85142,55.237457,19.027557,21.944996,11.600699,0.60780483,19.861732678310286,-0.012247932907212397,2.5424197,electronic
[135.99917763],0.22245231,3267.515772849026,2901.7534060103926,0.15095713706946595,-35.682407,56.51703,-2.1529415,11.120982,8.615524,0.42993352,22.625616944597972,0.0015339655670882136,1.6959661,electronic
[123.046875],0.26136634,1263.2941198299698,1648.1141365393419,0.04514182831849845,-151.75475,150.18663,8.275333,13.372078,7.815392,0.5069479,21.8859817773393,0.016192113481324696,2.0375009,electronic
[184.5703125],0.21062838,1193.5657919442422,1733.1604020289244,0.030193694973877708,-228.54784,108.944984,9.596849,24.220575,25.872019,0.5280336,22.70404646070622,0.018866190320987096,2.4412758,electronic
[135.99917763],0.34929082,2429.313207622371,2649.4873963679465,0.06619083180147059,-22.289024,78.04633,5.998795,36.07732,13.907059,0.7165332,19.081688327613136,-0.007406940360502123,1.9134531,electronic
[129.19921875],0.20693941,1026.146937341544,1519.891248383099,0.031210317700270898,-141.09161,161.72134,-15.301251,10.260828,11.158582,0.46307752,21.78562434293351,-0.025388493587870587,1.5600438,electronic
[61.5234375],0.10646662,2605.885226698456,2808.7874368119974,0.09671823601973684,-124.055084,86.22249,23.140486,9.767937,-5.3782396,0.22303347,22.94349465499456,0.07100770143857926,1.2546544,electronic
[123.046875],0.10208328,988.0132355734842,1271.3408814166044,0.030926494775541796,-272.9154,151.4831,17.089336,23.3897,21.852068,0.53123444,21.014327857907126,-0.03509233191158677,1.8992587,electronic
[89.10290948],0.24360529,3375.51905495093,3052.0255222809838,0.13356268442821206,-96.28282,24.682644,0.89503014,10.619969,2.9715474,0.392424,23.45865108745064,0.04662207306310799,1.9261582,electronic
[117.45383523],0.30538303,2381.5678783120698,2722.401702800452,0.0778468459752322,-74.81329,78.41064,19.72181,24.820177,15.273699,0.43924287,21.64457621081072,0.05302012698509271,2.0893898,electronic
[117.45383523],0.14094132,844.4769416186585,992.6564602322742,0.03873748306888545,-231.4683,173.93414,-0.9008532,13.285282,1.6131682,0.44363835,22.255105927637917,0.0014048663135164366,1.6934992,electronic
[123.046875],0.14736386,2400.355699807187,2757.77774025955,0.07096140008223684,-97.2741,90.498634,21.303577,22.728624,10.269125,0.51403064,20.431751357810334,-0.04935845177585148,1.379188,electronic
[117.45383523],0.15754955,1435.8790034026613,1595.2077005533663,0.06592514935661764,-248.80518,122.22481,14.5152445,7.483937,7.1353817,0.4847295,22.55026449285418,-0.003359421497260509,2.0843794,electronic
[129.19921875],0.16517438,1031.419951486449,1786.7447549663175,0.031822180969427245,-243.06966,137.53873,24.755621,27.086933,14.173598,0.34626362,24.134067155733323,-0.039371790940629425,0.7791374,electronic
[112.34714674],0.21146442,1189.9002082141617,1401.4462489336925,0.0551304300503096,-178.90993,154.00673,10.081058,24.347828,11.062188,0.5166969,20.42145109232051,-0.0008939892047929349,2.586496,electronic
[129.19921875],0.14160928,2284.078876635199,2309.4386185107755,0.10477752213138544,-101.69407,91.78998,-10.543067,35.522007,-1.8044188,0.3463482,23.52693491098625,0.05635589909897189,1.2640707,electronic
[112.34714674],0.25938463,3463.807531895951,2939.830625982562,0.15121677268769348,-0.23291469,38.715702,-9.893777,14.829758,4.109654,0.4972592,21.81393500414556,-0.028695354193153305,1.4365138,electronic
[83.35433468],0.35807177,2759.1426478135963,2874.401430352241,0.0686205223248839,-40.38094,63.513344,21.987925,26.564297,12.72995,0.58645284,19.687603371032257,0.015231789395590806,2.7132683,electronic
[129.19921875],0.30389124,2296.195959037382,2179.975904474845,0.10416717056888544,-51.57919,107.06978,-13.602751,18.045822,12.678664,0.4550345,20.704278037131264,-0.009884807350468289,1.7278875,electronic
[172.265625],0.19892597,2909.493407559206,3128.4538274164033,0.06850260920568886,-170.95453,38.03886,46.19236,22.281954,3.1866195,0.6145943,21.163436803175212,0.011786010034614656,2.5148811,electronic
[86.1328125],0.221464,2812.287711763373,2761.659955238162,0.10287239381772446,-114.45145,66.677475,1.8471808,-0.5989998,-4.902932,0.43148902,21.41051548562025,-0.00048442823468636124,1.7688005,electronic
[86.1328125],0.08929053,1081.9357025001589,1621.5283601746373,0.041163772252321984,-272.0088,163.01765,36.203854,5.8294387,1.9175411,0.27926746,25.11024908543506,0.011849752196545856,1.1740903,electronic
